Uniprot	Protein	Prot
P29029	YLR286C	1.01308465631869E-06
Q12349	YLR295C	2.73722270045009E-06
Q05902	YLR299W	3.67612387699584E-07
P23776	YLR300W	3.27126587947055E-06
P06106	YLR303W	7.7705378142645E-06
P19414	YLR304C	9.62314179732597E-06
P37297	YLR305C	5.73465311361061E-07
Q06702	YLR307W	3.8785075669968E-07
Q06703	YLR308W	4.61495326475164E-07
Q06178	YLR328W	2.27423017452569E-06
P38631	YLR342W	1.85707187382172E-06
Q06137	YLR345W	3.39491098937669E-07
P49954	YLR351C	6.34802356993814E-07
P15019	YLR354C	1.30731402480832E-05
P06168	YLR355C	1.91303324704345E-05
Q05911	YLR359W	4.57432844034474E-06
P40319	YLR372W	2.34399119333949E-06
P09201	YLR377C	1.50757523847705E-06
P11325	YLR382C	2.63289393425023E-07
Q06708	YLR386W	5.24497643706456E-07
P04039	YLR395C	1.49963399606971E-06
Q06685	YLR410W	8.64860411693464E-07
P20051	YLR420W	1.28069323376965E-06
P50095	YLR432W	6.8554689615425E-06
P07991	YLR438W	3.08037148051991E-06
Q06204	YLR446W	2.57563894862016E-07
P32366	YLR447C	2.13264341996886E-06
P12684	YLR450W	7.1723321361544E-07
P50107	YML004C	1.19405767360726E-06
P25087	YML008C	4.63146174617186E-06
P49435	YML022W	2.87171855808131E-06
P15274	YML035C	1.55833270048482E-06
P32796	YML042W	9.59123106463752E-07
P00175	YML054C	3.00687751797254E-06
P50094	YML056C	6.43580941796997E-06
Q04958	YML059C	7.89770892408478E-07
P54838	YML070W	3.28675719992093E-06
P12683	YML075C	1.44767821729584E-06
P81450	YML081C-A	1.55840834930419E-06
Q04533	YML082W	3.23488018629609E-07
P54783	YML086C	1.06306576872844E-06
P38427	YML100W	1.63265488490048E-06
P13298	YML106W	3.11885339495563E-06
P49017	YML110C	1.53361548671403E-06
P32340	YML120C	2.67402081342797E-06
Q12746	YML125C	2.6676581880809E-06
P54839	YML126C	5.80591403001441E-06
Q03674	YMR006C	9.99478075073538E-07
P39105	YMR008C	1.42071044257573E-06
Q03677	YMR009W	1.29729371815904E-06
P20048	YMR013C	2.72690594694884E-07
P54781	YMR015C	3.71175929003408E-06
P50264	YMR020W	3.98860213698512E-07
Q04212	YMR041C	1.07749579883925E-06
P37296	YMR054W	7.17292285024037E-07
P38993	YMR058W	1.6816444235428E-06
Q04728	YMR062C	1.5705703515416E-06
P07246	YMR083W	4.26985641920411E-06
A2P2R3	YMR084W	8.49662724301082E-07
Q04299	YMR087W	3.20728737998202E-07
Q03161	YMR099C	3.00399320252101E-06
Q03175	YMR101C	3.26322520292645E-07
P37012	YMR105C	4.5024793115212E-06
P07342	YMR108W	3.45413744944596E-06
Q04458	YMR110C	5.72706212336458E-07
Q12676	YMR113W	3.71845404126355E-07
P38009	YMR120C	5.9873112210129E-06
P40215	YMR145C	3.12294117178444E-06
Q12674	YMR162C	3.40073579350337E-07
P32567	YMR165C	5.02434873322255E-07
P54114	YMR169C	1.56067407409463E-06
P47771	YMR170C	1.44615820652312E-06
P49095	YMR189W	1.5862551721865E-06
P32352	YMR202W	3.15815479440995E-06
P16862	YMR205C	9.59246734209803E-06
P32874	YMR207C	2.61895047613555E-07
P07277	YMR208W	1.35312904308112E-06
Q03649	YMR210W	4.34879531144054E-07
P38625	YMR217W	8.11274985191867E-06
P24521	YMR220W	9.01830562032978E-07
Q05016	YMR226C	2.96689543194791E-06
P47912	YMR246W	2.88511379743263E-06
Q04792	YMR250W	1.43261870724573E-06
Q04806	YMR251W	3.87719665474177E-07
P10174	YMR256C	1.87566220118716E-06
P38426	YMR261C	1.66224399924587E-06
P28239	YMR267W	5.45460272447208E-07
P30402	YMR271C	1.23251499255269E-06
Q03529	YMR272C	1.80077475710961E-06
Q03262	YMR278W	6.74400781966691E-07
P23797	YMR281W	5.79771260869517E-07
Q03266	YMR289W	2.67531337569167E-07
Q03557	YMR293C	3.73229012335805E-07
P25045	YMR296C	1.72302732318467E-06
Q03579	YMR298W	1.23627415636452E-06
P04046	YMR300C	2.84676595146724E-06
P00331	YMR303C	6.91635255358681E-06
Q04952	YMR306W	1.45425747278861E-07
P40308	YMR313C	1.8574166709239E-07
Q04894	YMR318C	3.26157374442246E-06
P40988	YMR319C	8.59978368008904E-07
Q04902	YMR322C	1.15749179669223E-06
P42222	YMR323W	1.63778580929838E-06
P53982	YNL009W	4.6631730070287E-07
P53966	YNL029C	2.47834743589012E-07
P53615	YNL036W	1.58329483329957E-06
P28834	YNL037C	3.2655695833027E-06
P53961	YNL038W	2.61987310250298E-07
Q10740	YNL045W	1.63164762767644E-06
P53954	YNL048W	3.90712126959097E-07
P12695	YNL071W	2.85367239187496E-06
P32048	YNL073W	4.2452452645273E-07
P53934	YNL092W	3.48909170473702E-07
P06208	YNL104C	4.32406121122787E-06
P50942	YNL106C	4.23158028162489E-07
P30952	YNL117W	2.05426028941864E-06
P53915	YNL129W	4.18265853789703E-07
P17898	YNL130C	4.46326555086969E-07
P53909	YNL141W	2.96590832280699E-06
P39006	YNL169C	3.91639355415385E-07
P53871	YNL191W	8.88285296158878E-07
P08004	YNL192W	3.98187133850614E-07
P32573	YNL202W	1.08982258807248E-06
P53868	YNL219C	4.45370638221457E-07
P80210	YNL220W	4.15951927354727E-06
P23202	YNL229C	4.66242503099157E-07
P11412	YNL241C	2.30305813743691E-06
P53852	YNL247W	2.81257938107347E-06
P53848	YNL256W	7.71909440533625E-07
P39104	YNL267W	7.15455912536011E-07
P53839	YNL274C	1.57267073507331E-06
P08465	YNL277W	1.1495940058109E-06
P32462	YNL280C	6.12386631892017E-07
P48567	YNL292W	1.08452712041147E-06
P32452	YNL316C	5.06845735477942E-07
P42837	YNL325C	3.77349897474398E-07
P42884	YNL331C	5.58657996610013E-07
P53824	YNL333W	2.71507865273647E-06
P53823	YNL334C	6.97676948062189E-07
P0CH64	YNL335W	6.87965008625849E-07
P00890	YNR001C	3.66845985275148E-06
P40345	YNR008W	2.50083828888854E-07
P27515	YNR012W	8.35234541544096E-07
Q00955	YNR016C	7.21777259473171E-06
P53629	YNR019W	6.7598201492872E-07
P53727	YNR027W	4.3788507378412E-07
P53730	YNR030W	1.12107650760262E-06
P37254	YNR033W	3.55461122678115E-07
P32378	YNR041C	4.22551705659619E-07
P32377	YNR043W	2.05092576592561E-06
P38999	YNR050C	5.56412028029997E-06
P53630	YNR057C	8.62116333588506E-07
P50277	YNR058W	8.03434818578363E-07
P53746	YNR060W	5.98955232419341E-07
P53753	YNR067C	8.04240152209749E-07
P0CX09	YNR073C	3.11989634348901E-06
Q08108	YOL011W	6.74341927989832E-07
P48525	YOL033W	4.30785324503106E-07
Q08220	YOL049W	1.01060136454732E-06
P21182	YOL052C	1.07872801386902E-06
Q08224	YOL055C	3.43764078889501E-06
P22768	YOL058W	6.7471976772444E-06
P41911	YOL059W	2.45388997947375E-06
Q12265	YOL061W	1.43768537007238E-06
P32179	YOL064C	2.19745032894491E-06
Q08227	YOL065C	2.76463111483161E-07
Q12362	YOL066C	4.43766474625083E-07
P53685	YOL068C	3.88567151564491E-07
Q08234	YOL075C	3.8319257586479E-07
P81451	YOL077W-A	2.12577275083755E-06
P00330	YOL086C	1.97185762727319E-05
P27680	YOL096C	5.3970043376787E-07
Q12109	YOL097C	3.90852578667737E-06
P22133	YOL126C	1.63910430522586E-06
Q12471	YOL136C	5.9471189650852E-07
P18544	YOL140W	2.22907083632544E-06
P50861	YOL143C	2.42994580301104E-06
Q12068	YOL151W	2.48311429799557E-06
Q12333	YOL152W	3.04776163801256E-07
Q08295	YOL157C	2.00688532619237E-06
Q08361	YOL165C	7.23832541811553E-07
Q12001	YOR002W	2.40142521393584E-07
P53687	YOR025W	4.2211696094096E-07
Q12320	YOR040W	5.50176893647735E-07
Q08438	YOR054C	6.50294630228118E-07
P07143	YOR065W	2.56092947249183E-06
P40351	YOR067C	4.02663379621315E-07
P06785	YOR074C	1.15198846539709E-06
Q12043	YOR081C	4.80541070693637E-07
Q12189	YOR095C	3.86866404285006E-06
P27810	YOR099W	1.38359302895133E-06
Q12166	YOR108W	3.1125335754014E-06
Q12271	YOR109W	6.43030766356896E-07
P14065	YOR120W	1.7243426228332E-06
P41735	YOR125C	1.66138099347769E-06
P41734	YOR126C	8.31055349979849E-07
P21264	YOR128C	1.80361231592892E-06
P28241	YOR136W	2.15919139993373E-06
P53598	YOR142W	2.91212725532918E-06
P35202	YOR143C	4.77094437145475E-07
Q04174	YOR149C	3.16916774601626E-07
Q99312	YOR155C	8.87294432051475E-07
Q99321	YOR163W	1.38583689819674E-06
P13188	YOR168W	3.17932210035865E-06
Q12246	YOR171C	7.14694145844029E-07
Q08548	YOR175C	6.60692357035805E-07
P16622	YOR176W	1.3143340355593E-06
Q08558	YOR180C	5.39841091854498E-07
P33330	YOR184W	4.34121130468011E-06
P32603	YOR190W	4.37963469413812E-07
P32875	YOR196C	8.31573469146831E-07
P06633	YOR202W	9.83863606238964E-07
P39683	YOR209C	1.71181838732592E-06
Q12283	YOR221C	5.13940676895966E-07
P07807	YOR236W	5.22933445096674E-07
Q08645	YOR241W	4.11750177226754E-07
Q08650	YOR245C	4.21619343004795E-07
Q08686	YOR251C	1.31240907360893E-06
P32563	YOR270C	2.66859992845158E-06
P06174	YOR278W	6.90196534382984E-07
Q12040	YOR283W	2.39436006391577E-06
Q12305	YOR285W	1.20331115275413E-06
Q08742	YOR286W	1.26101299133402E-06
P07258	YOR303W	1.80592101570049E-06
Q12382	YOR311C	6.83065898586924E-07
P30624	YOR317W	2.07960525619162E-06
P47190	YOR321W	3.29934173691026E-07
P54885	YOR323C	4.07320581640959E-06
P22203	YOR332W	3.42078939932358E-06
P40825	YOR335C	8.92876731042363E-06
P52489	YOR347C	8.4694767521707E-07
P06776	YOR360C	4.07408694372381E-07
P46367	YOR374W	3.82259105103922E-06
P07262	YOR375C	1.12719047179958E-05
P40353	YOR377W	2.29220158503025E-07
Q08905	YOR381W	3.10515125857865E-07
Q08908	YOR384W	2.02760823625325E-07
Q08911	YOR388C	2.64476969813894E-06
Q08914	YOR391C	1.05997676694524E-06
P0CX10	YOR393W	1.73088346682103E-06
P53686	YPL015C	9.63389004166579E-07
P46151	YPL023C	5.71506279452251E-07
P41338	YPL028W	7.69415251050173E-06
P19657	YPL036W	3.53777248775337E-06
P48526	YPL040C	2.65234078914554E-07
P54070	YPL053C	7.75050759676524E-07
P33300	YPL057C	4.22178044681593E-07
Q02784	YPL059W	7.81706224721107E-07
P54115	YPL061W	9.18130532828762E-06
Q12051	YPL069C	7.80632478498037E-07
P46961	YPL076W	4.46037624125064E-07
P05626	YPL078C	3.87978239149522E-06
Q02896	YPL087W	3.92446606519472E-07
Q02895	YPL088W	1.06287732342152E-06
P41921	YPL091W	2.69788806496375E-06
P62651	YPL096C-A	6.28412579777919E-07
P48527	YPL097W	2.90618325175685E-07
P15179	YPL104W	5.14490805418105E-07
Q02979	YPL110C	4.46993302370443E-07
P00812	YPL111W	2.56116248370836E-06
P15496	YPL117C	2.46767599941831E-06
P19516	YPL132W	7.82175982025399E-07
Q12036	YPL148C	4.71143191108808E-07
P26637	YPL160W	5.92645247755262E-06
P21592	YPL172C	2.00719764925707E-07
P32363	YPL175W	4.36261807827706E-07
Q06892	YPL188W	5.33927318261063E-07
Q08959	YPL206C	5.53238499576036E-07
Q12211	YPL212C	1.41654026594566E-06
P41835	YPL214C	1.29524100025654E-06
P40350	YPL227C	1.34418465069439E-06
P19097	YPL231W	1.12633945413636E-05
P32842	YPL234C	1.08522268401836E-06
Q12184	YPL252C	1.07190273059844E-06
Q08975	YPL258C	1.52510269686866E-06
P08417	YPL262W	3.49965774754093E-06
P32383	YPL268W	2.62033599401724E-07
P21306	YPL271W	1.45394119624336E-06
Q08985	YPL273W	1.51044621314767E-06
Q08992	YPL280W	1.01274951643171E-06
P0CX11	YPL281C	1.73088346682103E-06
P43635	YPR001W	3.64136557153229E-07
Q12428	YPR002W	6.03601740181726E-07
Q12031	YPR006C	5.06617118460439E-07
Q12233	YPR020W	9.79950552577996E-07
P48016	YPR026W	6.96390829580149E-07
P07263	YPR033C	4.80993675682942E-06
P32288	YPR035W	7.89963083214045E-06
P41807	YPR036W	1.9913533631034E-06
P08425	YPR047W	3.12497123386731E-07
P32178	YPR060C	2.31892921775452E-06
Q12178	YPR062W	1.69231487981647E-06
Q12074	YPR069C	3.91528584751361E-06
P23254	YPR074C	1.02235782062084E-05
Q06817	YPR081C	4.35917527625412E-07
P06197	YPR113W	1.07520633118156E-06
Q06489	YPR118W	1.2944604390184E-06
Q06490	YPR121W	1.45214607999999E-06
Q06494	YPR127W	2.7638240295741E-06
Q06508	YPR139C	4.92763403183032E-07
Q06510	YPR140W	5.4572344240138E-07
P49089	YPR145W	4.93451135678098E-06
P06738	YPR160W	2.89255767306753E-06
P18408	YPR167C	1.1583297249429E-06
P14020	YPR183W	1.78011544281205E-06
Q06625	YPR184W	5.73166402437492E-07
P07257	YPR191W	3.13502465282212E-06
