Uniprot	Protein	Prot
Q07648	YDL219W	2.36685936104118E-06
P19881	YDL236W	1.93552572805249E-06
Q07729	YDL238C	4.22935106860703E-07
Q07747	YDL243C	1.12610278165786E-06
Q07786	YDL246C	2.00168247484543E-06
P32356	YDR001C	8.623963249869E-07
P00912	YDR007W	1.01262473536454E-06
P13045	YDR009W	5.84596410560591E-07
Q12494	YDR017C	5.60791458955998E-07
P48015	YDR019C	1.29427425690818E-06
Q12084	YDR020C	4.62430474681656E-07
P07284	YDR023W	6.187844798431E-06
P14843	YDR035W	3.31101354023937E-06
P28817	YDR036C	1.59338620233513E-06
P15180	YDR037W	6.81715060145736E-06
Q12691	YDR038C	1.33071898954596E-06
Q01896	YDR039C	1.38399725933367E-06
P13587	YDR040C	1.44982974243168E-06
P11353	YDR044W	5.35097226517843E-06
P32347	YDR047W	1.10353603719922E-06
P00942	YDR050C	2.09303212194964E-05
Q99288	YDR051C	7.15543646959729E-07
P54857	YDR058C	2.82659764974177E-07
P40970	YDR062W	1.23016693098526E-06
Q12447	YDR071C	2.24035773350153E-06
P38954	YDR072C	2.54436014462078E-07
P31688	YDR074W	2.20192475682794E-06
Q12675	YDR093W	7.67556163222122E-07
Q03835	YDR098C	1.85744815280288E-06
P52892	YDR111C	1.40171901399755E-06
P08566	YDR127W	3.72075758760839E-06
P39109	YDR135C	5.01913520497478E-07
Q03764	YDR147W	2.61646698324831E-07
P19262	YDR148C	3.25098553940476E-06
P13663	YDR158W	7.11378508577399E-06
P07250	YDR173C	3.92934726372919E-07
P37298	YDR178W	9.74391482257259E-07
P53688	YDR191W	4.83720692136499E-07
Q03941	YDR196C	6.76691109641123E-07
O13525	YDR204W	5.77387595666561E-07
P38994	YDR208W	5.10451860982706E-07
P07170	YDR226W	8.67365390761158E-06
Q04935	YDR231C	6.18415291841436E-07
P09950	YDR232W	2.554986309567E-06
P49367	YDR234W	2.40866367811538E-06
Q03778	YDR236C	5.47772126685825E-07
P22580	YDR242W	3.56058618450855E-07
Q03786	YDR248C	9.88160536262421E-07
P15202	YDR256C	8.16157747138276E-07
P52911	YDR261C	5.41629560902481E-07
P04803	YDR268W	8.69573956621681E-07
P38995	YDR270W	4.76308592516129E-07
Q05584	YDR272W	6.99521119731357E-07
Q05521	YDR284C	7.89348620168389E-07
Q05533	YDR287W	5.94829337788107E-07
Q05567	YDR294C	9.62958624132354E-07
P38992	YDR297W	1.47444526796808E-06
P09457	YDR298C	3.25813105124565E-06
P32264	YDR300C	2.31847319992439E-06
Q06636	YDR302W	6.61216902232971E-07
P49775	YDR305C	8.61386346503681E-07
Q06667	YDR315C	2.24022615121953E-07
P38986	YDR321W	1.55366805355134E-06
P81449	YDR322C-A	2.03302465863725E-06
Q05506	YDR341C	4.13627380869071E-06
P29509	YDR353W	3.32542043088822E-06
P07285	YDR354W	1.10876077064216E-06
Q06346	YDR367W	6.13593758711274E-07
Q12458	YDR368W	2.29431774090054E-06
Q06350	YDR371W	2.78887419238178E-07
Q06389	YDR373W	8.55355535648642E-07
P48360	YDR376W	4.47951874667405E-07
Q06405	YDR377W	2.30931468761426E-06
Q06408	YDR380W	5.49032385023144E-07
Q04178	YDR399W	3.28905012340576E-06
Q04179	YDR400W	5.19684812602048E-07
P21595	YDR402C	4.17483748591568E-07
P21623	YDR403W	5.72127538595487E-07
P04161	YDR408C	1.43730103013674E-06
P32584	YDR410C	4.3741893554881E-07
Q04066	YDR428C	7.63523584322761E-07
Q04082	YDR437W	6.5899427361937E-07
Q04089	YDR440W	3.16327255509392E-07
P36973	YDR441C	1.33613495245967E-06
Q04119	YDR452W	4.69525048666559E-07
Q04120	YDR453C	3.22616840700115E-06
P15454	YDR454C	4.37427778670081E-06
P11491	YDR481C	1.65741196512692E-06
P27809	YDR483W	2.42773794131747E-06
Q99258	YDR487C	1.88475275673721E-06
P19358	YDR502C	9.64108023535149E-06
Q04396	YDR503C	3.61703646147528E-07
P17695	YDR513W	2.17687267668353E-06
Q04409	YDR516C	1.57114645972191E-06
P00128	YDR529C	2.31376842877207E-06
P22108	YDR530C	1.05211537646465E-06
Q04430	YDR531W	3.58497214385611E-07
Q04432	YDR533C	2.41651859337962E-06
P33751	YDR538W	8.49103229943584E-07
Q03034	YDR539W	1.35043571305687E-06
P40975	YEL017C-A	6.25951453237303E-06
P03962	YEL021W	2.36963718335366E-06
P08067	YEL024W	1.95822983619344E-06
P25515	YEL027W	3.85855626967038E-06
P39988	YEL029C	5.60767346769888E-07
P39986	YEL031W	3.25725840101645E-06
P32626	YEL038W	1.09081835166658E-06
P00045	YEL039C	1.59218056093201E-06
P32622	YEL041W	2.61049548089504E-07
P32621	YEL042W	2.05880192478263E-06
P37303	YEL046C	3.70196461331309E-06
P32614	YEL047C	2.94450743035082E-06
P32610	YEL051W	5.1883619473279E-06
P38628	YEL058W	1.4508957641268E-06
P39979	YEL066W	1.06230270036006E-06
P0CX08	YEL070W	3.16932955648191E-06
P39976	YEL071W	2.8314006092088E-06
P29952	YER003C	3.52556901118613E-06
P40009	YER005W	1.6806313325419E-07
P40011	YER010C	6.30014085579566E-07
P40012	YER014W	4.52758001456768E-07
P39518	YER015W	1.05034857376267E-06
P40015	YER019W	8.19742514837562E-07
P32263	YER023W	2.45896742938737E-06
P40017	YER024W	7.41381631054548E-07
P08456	YER026C	1.01846570764291E-06
P40025	YER037W	6.12546984042435E-07
P40029	YER042W	8.16759098855454E-07
P39954	YER043C	1.13973889304814E-05
P10869	YER052C	2.95042357491182E-06
P00498	YER055C	1.92121418951425E-06
P39525	YER061C	4.78332989026268E-07
P40106	YER062C	3.48551407018512E-06
P28240	YER065C	2.96795277550305E-06
Q01217	YER069W	2.14108298897145E-06
P21524	YER070W	4.32637675167322E-06
P40047	YER073W	2.09822655869101E-06
P40054	YER081W	4.99992629669907E-06
P00927	YER086W	4.23488360197954E-06
P39965	YER087W	2.84134663005142E-07
P00899	YER090W	2.94796363724281E-06
P05694	YER091C	2.13502977703064E-05
P38620	YER099C	9.11601967807902E-07
P40086	YER141W	8.9160527437129E-07
P10356	YER152C	6.89509792003838E-07
P32656	YER163C	5.75681232639806E-07
P26364	YER170W	5.97344790487511E-07
P32642	YER174C	9.91677776571673E-07
P32643	YER175C	9.05248827770455E-07
P16387	YER178W	2.94158960352023E-06
P40099	YER183C	5.28930981946131E-07
P31115	YFL001W	4.9706976041766E-07
P43577	YFL017C	6.24305486092747E-07
P09624	YFL018C	4.11478376556906E-06
P15625	YFL022C	5.22286649284606E-06
P43567	YFL030W	7.03823507835602E-07
P07283	YFL045C	6.16345241737919E-06
P43550	YFL053W	1.65994923446208E-06
P43545	YFL059W	2.77016003569112E-06
P43544	YFL060C	7.16077576306265E-07
P0CH63	YFL061W	6.55921750867462E-07
P23337	YFR015C	1.80286578789003E-06
P34756	YFR019W	3.1297386632686E-07
P38635	YFR025C	6.3075431824382E-07
P39692	YFR030W	5.33975739721416E-06
P00127	YFR033C	2.1995357014568E-06
P43616	YFR044C	3.30554348601592E-06
P43619	YFR047C	1.6672364214122E-06
P04806	YFR053C	8.28439395848496E-06
P43623	YFR055W	8.84167274907E-07
P53199	YGL001C	1.84254503391387E-06
P38929	YGL006W	9.05657801166516E-07
P05030	YGL008C	2.24699734722502E-05
P07264	YGL009C	5.76030701161079E-06
P25340	YGL012W	1.06372000712949E-06
P16639	YGL017W	2.73233355055473E-07
P39007	YGL022W	1.05041756681811E-06
P00931	YGL026C	5.45487456786934E-06
P53008	YGL027C	4.31600499557551E-07
P53184	YGL037C	3.47210090175176E-06
P31755	YGL038C	5.34386774611844E-07
P05373	YGL040C	1.62170236428292E-06
P53178	YGL047W	5.73050329365242E-07
P21147	YGL055W	5.37957588494764E-06
P11154	YGL062W	5.02272664301974E-06
P53167	YGL063W	4.87039385474806E-07
P43636	YGL065C	1.01092660079089E-06
P53164	YGL067W	4.29589344770373E-07
P27697	YGL119W	6.21260259670239E-07
P53128	YGL125W	1.84541637124122E-06
P30777	YGL142C	2.38482561059371E-07
P28777	YGL148W	4.44961617296206E-06
P50113	YGL154C	6.08660324656512E-07
P22855	YGL156W	4.73764856406368E-07
P13586	YGL167C	1.57627714540422E-06
P32579	YGL169W	5.26483738315497E-07
P53101	YGL184C	5.45966154205353E-07
P04037	YGL187C	2.93204995668224E-06
P32799	YGL191W	2.16622972818761E-06
P53095	YGL196W	5.43646330434585E-07
P53090	YGL202W	2.80284228264236E-06
P13711	YGL205W	1.11686220319611E-06
P53078	YGL224C	9.26902375571854E-07
P07244	YGL234W	3.98113117792114E-06
P46655	YGL245W	8.00081639564786E-06
P22434	YGL248W	3.67096427087482E-07
P04807	YGL253W	1.39734917201539E-05
P10127	YGL256W	9.29285305263901E-06
P33412	YGR007W	6.12641360524303E-07
P53204	YGR010W	5.368061983074E-07
P53206	YGR012W	1.15380199255516E-06
P17649	YGR019W	4.14203485430768E-06
P39111	YGR020C	3.65201730077043E-06
P40989	YGR032W	8.19022116159856E-07
P53223	YGR036C	5.01627852622814E-07
P53228	YGR043C	2.39036277981718E-06
P53230	YGR046W	2.98402153247968E-07
P53045	YGR060W	3.8722511030524E-06
P38972	YGR061C	3.63192710135195E-06
P53239	YGR062C	4.88618741929785E-07
P26263	YGR087C	2.41408599320172E-06
P06115	YGR088W	2.6262164630186E-06
P07806	YGR094W	6.32498336217303E-06
P53264	YGR110W	3.17496109889522E-07
P49090	YGR124W	4.11365398743409E-06
P32318	YGR144W	2.80153303847833E-06
P37293	YGR147C	4.8502604849061E-07
P48239	YGR154C	8.00265057975902E-07
P32582	YGR155W	6.66659515794464E-06
P05374	YGR157W	4.66406993979484E-07
P53037	YGR170W	2.47616910266032E-07
P22438	YGR171C	2.98589258487512E-07
P32476	YGR175C	5.11231600839742E-06
P53296	YGR177C	7.16237055287533E-07
P49723	YGR180C	5.48132611994617E-06
P22289	YGR183C	5.95766966061195E-07
P36421	YGR185C	4.46914733069607E-06
P00359	YGR192C	2.81235262362076E-05
P16451	YGR193C	1.69694442158248E-06
P42826	YGR194C	5.65399678263347E-07
P13259	YGR202C	7.05546007214069E-07
P07245	YGR204W	4.8924207297924E-06
P42941	YGR208W	2.38454681917507E-06
P22803	YGR209C	4.01096067717691E-06
P53306	YGR216C	2.33935531763406E-07
P50076	YGR227W	2.70382440947879E-07
P39676	YGR234W	3.26540128648073E-06
P16861	YGR240C	8.96886912126633E-06
P53312	YGR244C	2.09872453180411E-06
P53314	YGR247W	6.17646113361767E-07
P53315	YGR248W	7.13226982434049E-07
P00924	YGR254W	4.2131408554985E-05
P53318	YGR255C	8.12700062832865E-07
P53319	YGR256W	1.72528951742734E-06
P00958	YGR264C	4.25539035114319E-06
P51601	YGR267C	1.92956044238951E-06
P53332	YGR277C	4.45238004206043E-07
P15703	YGR282C	2.71420574092843E-06
P32451	YGR286C	2.28031826802808E-06
P53051	YGR287C	1.90940309994994E-06
P53341	YGR292W	1.37895875149145E-06
P38703	YHL003C	4.73039071368598E-07
P38689	YHL011C	2.10673839661579E-06
P38709	YHL012W	2.30651905236726E-07
P38744	YHL018W	5.87813711420822E-07
P32190	YHL032C	6.43837836007224E-07
P37299	YHR001W-A	1.17451436982138E-06
P10614	YHR007C	6.78727230707229E-06
P00447	YHR008C	2.59661872891426E-06
P38705	YHR011W	3.81142730163344E-07
P07347	YHR013C	1.51464668737148E-06
P04076	YHR018C	2.68469759655168E-06
P38707	YHR019C	6.67170759519887E-06
P38708	YHR020W	5.89093174690348E-06
P17423	YHR025W	2.47444794845088E-06
P23968	YHR026W	1.27934729195236E-06
P07275	YHR037W	1.42317615665959E-06
P48836	YHR039C-A	5.61295655452685E-06
P16603	YHR042W	3.19498027849148E-06
P38773	YHR043C	1.62815188779872E-06
P38774	YHR044C	1.86659958757571E-06
P38710	YHR046C	6.14449814556847E-07
P00427	YHR051W	3.376356173165E-06
P38787	YHR063C	1.56128361834851E-06
P38790	YHR067W	3.45671697715369E-07
P38791	YHR068W	5.90030833201169E-06
P38604	YHR072W	4.42179249768876E-07
P38795	YHR074W	8.56632984432425E-07
P38714	YHR091C	2.3829271172748E-07
P38812	YHR100C	6.82245067402708E-07
P38715	YHR104W	1.76528934422431E-06
P38816	YHR106W	1.19292617737224E-06
P38818	YHR109W	2.61625526321687E-07
P38824	YHR116W	5.92226556869654E-07
P38827	YHR119W	5.7021659279397E-07
P22140	YHR123W	3.5025884014782E-07
P18562	YHR128W	4.57928332380691E-06
P38840	YHR137W	9.96548093899197E-07
P06773	YHR144C	3.90821293355224E-07
P38858	YHR163W	1.98084313108455E-06
P00925	YHR174W	4.5374298297845E-05
P38720	YHR183W	1.09033010568479E-05
P29704	YHR190W	3.83270026056145E-06
P38698	YHR201C	8.802178875816E-07
P38891	YHR208W	3.10769609527478E-06
P38693	YHR215W	3.27292912466742E-06
P38697	YHR216W	3.26786298751123E-06
P40559	YIL002C	2.45402563587479E-07
P39002	YIL009W	1.70661312236994E-06
P40553	YIL010W	1.38271708301514E-06
P40545	YIL020C	9.60180952718624E-07
P38626	YIL043C	1.81253309506875E-06
P40527	YIL048W	9.10722884207381E-07
P41277	YIL053W	1.4178265416003E-05
P21672	YIL066C	3.87712406588373E-06
P40510	YIL074C	2.87241731486929E-06
P04801	YIL078W	5.39782187388167E-06
P40506	YIL083C	1.17434516680474E-06
P40495	YIL094C	5.16592935654129E-06
P08019	YIL099W	4.17525079925288E-07
P40433	YIL107C	5.66834607331826E-07
P00425	YIL111W	7.06791181805849E-07
P07172	YIL116W	1.97077723802443E-06
P40471	YIL124W	1.67463088541207E-06
P20967	YIL125W	2.82148506937203E-06
P40459	YIL145C	7.38850760906127E-07
P32191	YIL155C	1.92263883261807E-06
P27796	YIL160C	1.52666703965539E-06
P00724	YIL162W	2.35816995191168E-06
P0CW40	YIL172C	1.92053638842099E-06
P32375	YIR027C	6.54753995551263E-07
P25335	YIR029W	1.11273963881179E-06
P21826	YIR031C	1.4934996630597E-06
P32459	YIR032C	7.08088310717349E-07
P38998	YIR034C	1.93714209448145E-06
P40580	YIR036C	8.56097742324981E-07
P40581	YIR037W	2.25672075529469E-06
P40582	YIR038C	3.04996470136738E-06
P47081	YJL003W	8.33984968092776E-07
P08678	YJL005W	3.30007685722526E-07
P09938	YJL026W	6.1420729256691E-06
P47052	YJL045W	1.49723200188864E-06
P47051	YJL046W	2.69110265950214E-07
P00360	YJL052W	2.21568475534517E-05
P47039	YJL060W	1.7736138849463E-06
P40363	YJL068C	1.63404950961389E-06
P40360	YJL071W	4.01680485899298E-07
P05150	YJL088W	1.69123150201747E-06
P47026	YJL091C	3.80069302415302E-07
P40857	YJL097W	1.41791619705995E-06
P42951	YJL100W	2.55293178245876E-07
P32477	YJL101C	4.54359718610239E-07
P46969	YJL121C	1.99405510213313E-06
P47016	YJL126W	4.21275774380894E-07
P07259	YJL130C	6.46289572851057E-06
P47013	YJL134W	2.6567840724066E-07
P47011	YJL137C	5.21423772939258E-07
P26725	YJL139C	2.5573524781958E-07
P11986	YJL153C	1.48250773236262E-06
P32604	YJL155C	5.6406459645289E-07
P08525	YJL166W	1.65761581553914E-06
P08524	YJL167W	4.51957880691261E-06
P46995	YJL168C	5.18521337004663E-07
P39540	YJL196C	4.24952762291846E-07
P39533	YJL200C	2.50083319704687E-06
P40884	YJL216C	1.34377536225663E-06
P0CW41	YJL221C	1.92053638842099E-06
P00358	YJR009C	2.87700162609951E-05
P08536	YJR010W	4.13351800779586E-06
P47088	YJR013W	2.80657382774831E-07
P39522	YJR016C	6.06715683599715E-06
P41903	YJR019C	7.88067359537802E-07
P47095	YJR024C	6.40358798359184E-07
P47096	YJR025C	9.86148969612617E-07
P00044	YJR048W	4.75675192293332E-06
P21373	YJR049C	3.97605848438415E-07
P21375	YJR051W	1.43984902049027E-06
P00572	YJR057W	6.49409665401515E-07
P47119	YJR069C	1.448085664908E-06
P05375	YJR073C	1.54854448844832E-06
P47125	YJR078W	4.15655799750174E-07
P38627	YJR103W	1.00855192115656E-06
P00445	YJR104C	4.95640919336096E-06
P47143	YJR105W	4.61665129056883E-06
P03965	YJR109C	4.45434957973307E-06
P47147	YJR110W	3.57384227428009E-07
P00830	YJR121W	8.62331531422123E-06
P47164	YJR130C	3.3317378684202E-07
P32906	YJR131W	3.77582722171024E-07
P47165	YJR133W	2.5722996043327E-06
P47169	YJR137C	4.06407948958258E-06
P31116	YJR139C	5.70312346495136E-06
P46971	YJR143C	9.44820068441996E-07
P47176	YJR148W	1.42058391891621E-06
P47177	YJR149W	6.67357225498852E-07
P47180	YJR153W	6.660880935141E-07
P47182	YJR155W	5.92769772258388E-07
P35497	YJR159W	1.98031719259968E-06
Q02196	YKL001C	3.2209877397231E-06
P36107	YKL004W	5.2036342655192E-07
P28496	YKL008C	7.23348388598643E-07
P30902	YKL016C	2.232798622973E-06
P29703	YKL019W	6.76245949440995E-07
P15700	YKL024C	2.04559255142481E-06
P36014	YKL026C	6.89129385316519E-07
P36013	YKL029C	3.04184523677439E-06
P32861	YKL035W	4.55653175679326E-06
P35731	YKL055C	5.12724627184595E-07
P14540	YKL060C	2.9539630191665E-05
P36010	YKL067W	2.87870520609565E-06
P36088	YKL069W	1.61123006275824E-06
P31412	YKL080W	2.54521892097018E-06
P17505	YKL085W	5.24031703601785E-06
Q00873	YKL087C	5.58157966959448E-07
P36076	YKL088W	7.86760686671835E-07
P28321	YKL094W	6.47545576474845E-07
P14904	YKL103C	1.83660513697405E-06
P14742	YKL104C	3.51324961019019E-06
Q01802	YKL106W	4.29561017071474E-07
P33401	YKL127W	1.76607010789996E-06
P36001	YKL132C	2.24520344049803E-07
P34163	YKL140W	7.13939482413237E-07
P33421	YKL141W	1.65670311352253E-06
Q00711	YKL148C	2.60297911374831E-06
P36060	YKL150W	3.04034839162686E-06
P00950	YKL152C	1.96654877021659E-05
P36051	YKL165C	5.00987101737419E-07
P32895	YKL181W	3.04705423284298E-06
P07149	YKL182W	8.33815934617905E-06
P08432	YKL184W	1.57498362491616E-06
P32463	YKL192C	1.4741220234258E-06
P07236	YKL194C	8.95406977745041E-07
P00937	YKL211C	1.74554116534275E-06
P32368	YKL212W	2.02618221427257E-06
P28273	YKL215C	5.09116270461742E-07
P28272	YKL216W	2.43540678943824E-06
P36007	YKL218C	5.02031620490658E-07
P36033	YKL220C	2.71310205509629E-07
Q02207	YKR009C	1.11516024160556E-06
P36126	YKR031C	3.08689216258138E-07
P36136	YKR043C	2.31119346459187E-06
P23501	YKR053C	3.83988885932021E-07
P36143	YKR058W	8.14198022361396E-07
P33550	YKR061W	2.77741165701103E-07
P00431	YKR066C	1.98010364283057E-06
P36148	YKR067W	1.21220694199886E-06
P36150	YKR069W	4.30743763613418E-07
P36024	YKR072C	8.00708738482613E-07
P36156	YKR076W	1.38910866386019E-06
Q02046	YKR080W	1.66449026115717E-06
P36165	YKR089C	3.1897491062647E-07
P10963	YKR097W	3.51995811269754E-06
P54861	YLL001W	1.41256780870469E-06
Q07804	YLL012W	8.60140459110577E-07
P14772	YLL015W	4.58924193768482E-07
P04802	YLL018C	6.24842139041288E-06
