Row	Empty	ACE_BATCH_mu=0.3_S	FRU_BATCH_mu=0.65_S	FUM_BATCH_mu=0.42_S	GAL_BATCH_mu=0.26_S	GAM_BATCH_mu=0.46_S	GLC_BATCH_mu=0.58_S	GLYC_BATCH_mu=0.47_S	MAN_BATCH_mu=0.47_S	PYR_BATCH_mu=0.40_S	SUCC_BATCH_mu=0.44_S	XYL_BATCH_mu=0.55_S	GLC_CHEM_mu=0.12_S	GLC_CHEM_mu=0.20_S	GLC_CHEM_mu=0.35_S	GLC_CHEM_mu=0.50_S	GLC_CHEM_mu=0.11_V	GLC_CHEM_mu=0.21_V	GLC_CHEM_mu=0.31_V	GLC_CHEM_mu=0.40_V	GLC_CHEM_mu=0.49_V	GLC_CHEM_mu=0.21_P	GLC_CHEM_mu=0.22_P	GLC_CHEM_mu=0.26_P	GLC_CHEM_mu=0.31_P	GLC_CHEM_mu=0.36_P	GLC_CHEM_mu=0.41_P	GLC_CHEM_mu=0.46_P	GLC_CHEM_mu=0.51_P
P00561		4.61295086904764E-06	1.63898659461855E-05	6.78087071067454E-06	4.72084407335872E-06	1.00151469740713E-05	1.01050845142617E-05	8.91916396148492E-06	8.36425958122768E-06	2.049294229352E-05	7.44157040453359E-06	1.67791082380984E-05	3.87840449364654E-06	4.94673189823456E-06	6.86653810247329E-06	1.48493183272562E-05	6.46060342876257E-06	8.46447135155848E-06	1.00798738055553E-05	1.52144614268318E-05	1.51800933031026E-05	1.34798774183335E-05	1.35861572380441E-05	1.5760580333631E-05	1.75558267168706E-05	2.02369664322365E-05	2.28818626906317E-05	2.57982080503955E-05	2.84365472950111E-05
P00547		8.32129089083786E-07	1.21075863056669E-06	8.98636435181832E-07	6.94270571508481E-07	1.32435949385491E-06	1.05261370848913E-06	8.42849300826945E-07	4.40866221802968E-07	1.69340752779638E-06	7.81100813347641E-07	2.11388209816986E-06	4.01018825235557E-07	4.25875978523465E-07	4.37023652398926E-07	6.10772291434291E-07	7.72905388698619E-07	1.00754457017659E-06	1.20449455008326E-06	1.91218604661043E-06	1.95777538789695E-06	2.43070211671866E-06	2.59878551359776E-06	2.79149330839369E-06	3.04767593282824E-06	3.90780622178399E-06	4.06901360459496E-06	4.26616012104508E-06	5.05139099594761E-06
P00934		1.22540333857905E-05	2.4660838954022E-05	1.75672814409566E-05	1.06459830131816E-05	1.73101867674017E-05	2.58835529821221E-05	2.11744443923149E-05	1.74249276858456E-05	3.95234630550953E-05	1.97318208410649E-05	3.06148224132715E-05	7.92265100840159E-06	8.2813572606337E-06	1.06795086670924E-05	1.64034757585519E-05	1.62659347993739E-05	2.03778317227396E-05	1.95102252961809E-05	2.4830591999168E-05	2.79501407994526E-05	2.25433584320052E-05	2.2461569323447E-05	2.44363635290662E-05	2.6525213800405E-05	2.9288705711609E-05	3.12979956279376E-05	3.47640687687654E-05	3.86949758634964E-05
P0A8I3		9.44056850875626E-07	1.42017897217394E-06	1.02806020959251E-06	8.80793742235146E-07	1.43400576612154E-06	1.42350638063987E-06	1.14200171549178E-06	1.24050567719855E-06	1.14706003116004E-06	1.04876860935711E-06	1.33034291184073E-06	4.84204674533198E-07	7.0190670534423E-07	7.66426770938531E-07	8.6330440176362E-07	2.94619860080105E-07	3.65368881988325E-07	4.23437424863208E-07	4.35312794116651E-07	4.96853372917328E-07	8.92670265477091E-07	NaN	1.10442324733955E-06	NaN	NaN	NaN	NaN	1.04946761282717E-06
P0A870		1.47065334188443E-05	2.12693820053537E-05	1.91927552952955E-05	1.75817214320943E-05	1.88769818707892E-05	1.88326233602305E-05	2.15317309175072E-05	1.73815844178654E-05	2.25864289986904E-05	1.87505542895618E-05	2.40997636964124E-05	9.99586165937833E-06	1.18031803236585E-05	1.45756529425668E-05	1.86485610437086E-05	3.15717761862238E-05	3.55712596565717E-05	3.60174414327169E-05	3.75404072201096E-05	3.83221184970258E-05	7.88925583154719E-05	7.62100252865503E-05	8.11452188993796E-05	7.96601001972139E-05	8.08765499393449E-05	8.16601897885651E-05	8.19384749776799E-05	8.4816778552263E-05
P0AF03		1.053424888639E-07	NaN	1.3477268288931E-07	NaN	1.22552612249669E-07	8.36116428547898E-08	8.31413082362536E-08	NaN	9.74786666007139E-08	NaN	NaN	5.41860068968399E-08	5.92945934651792E-08	5.64834829957162E-08	6.31704397468256E-08	9.73931236866001E-07	8.58096067283695E-07	8.3655938067152E-07	6.52944031494354E-07	6.05492873841828E-07	NaN	4.80860592728813E-07	4.54264687032387E-07	NaN	NaN	NaN	NaN	3.65967394342493E-07
P0A6Y8		3.10105752892677E-05	3.1858241589817E-05	3.3378219066797E-05	2.5114894113299E-05	3.34918946383994E-05	3.29650285824586E-05	3.37353387012421E-05	3.44931406574221E-05	2.66465171077198E-05	3.83562451658356E-05	3.32880610238438E-05	2.5440303754192E-05	2.54028586117088E-05	2.78088901591623E-05	2.89797993259395E-05	4.0680385681059E-05	3.58397637681664E-05	3.51007233095846E-05	3.38974364241712E-05	3.40168442684018E-05	6.29719888502574E-05	6.35976517093881E-05	6.17608038900733E-05	5.99584378327215E-05	5.97086027107563E-05	5.84306485029463E-05	6.11731172853468E-05	6.13383123216857E-05
P08622		1.08114429328917E-06	1.02877594066447E-06	1.49858585876259E-06	9.68818470998487E-07	1.38314864071218E-06	1.2197129676041E-06	1.4133831796522E-06	1.12202645390728E-06	1.185463767661E-06	1.16549782526476E-06	1.39458576658948E-06	9.6989244602936E-07	1.09064796295009E-06	1.21955261893535E-06	1.24758344935587E-06	2.39847235366665E-06	2.48562548734021E-06	2.45417588656309E-06	2.06938373113481E-06	1.85658315243647E-06	2.66092615737109E-06	2.73527815911463E-06	2.82087318055632E-06	2.70339690377051E-06	2.80566953933092E-06	2.59029429967144E-06	2.8576855593714E-06	2.80706529175439E-06
P0A7U7		2.37720039065058E-05	4.58917334479382E-05	3.61793830047387E-05	2.52217715258224E-05	3.83059786579363E-05	5.1103599119229E-05	4.01735675497864E-05	3.30653669028688E-05	3.20609206329986E-05	3.53522573141182E-05	3.99742055689305E-05	2.12977226140176E-05	2.24775377074236E-05	2.53518796152491E-05	3.56238443243751E-05	5.5556449403529E-05	6.1033913152318E-05	6.39796085595066E-05	7.62795725831208E-05	8.57323161894996E-05	6.22866420144653E-05	6.39087382140755E-05	6.80641171974693E-05	7.66019194205221E-05	8.19292889717043E-05	9.07205865229864E-05	0.000101627688553769	0.000105839552014407
P0AG40		2.18101614015414E-07	2.88775334270821E-07	2.58590008783502E-07	2.60636076087419E-07	2.80847335672608E-07	2.8343620486291E-07	2.94006116355849E-07	2.14676880941065E-07	2.83740814179282E-07	2.26105563912687E-07	2.69614383952538E-07	2.33137545802972E-07	3.0791578360865E-07	2.38052511482317E-07	3.3751384197571E-07	NaN	NaN	NaN	NaN	NaN	NaN	3.58876653695897E-06	NaN	NaN	NaN	NaN	3.26041185337653E-06	3.26852800799576E-06
P00956		2.94934903037455E-06	3.43642137788751E-06	3.28290248414468E-06	3.08910786362648E-06	3.11380816781294E-06	3.83812699692526E-06	3.45768347162174E-06	3.0978047369109E-06	3.86593588560791E-06	3.05933914908515E-06	4.42529023373675E-06	2.34037997530486E-06	2.59776121619111E-06	2.85797198742096E-06	3.08070468519535E-06	7.54201682124447E-06	8.2596212319366E-06	7.91136093277103E-06	7.37576165169628E-06	6.7271954046301E-06	8.99714763374273E-06	9.07005819581563E-06	9.53326046973537E-06	9.40192582218189E-06	9.05653843289403E-06	8.86737045230845E-06	9.15691729760432E-06	8.92453363149072E-06
P0AEM0		3.35015368166981E-06	2.97390824905333E-06	3.02552093246191E-06	2.82583059029733E-06	2.71079233715206E-06	2.22344247973036E-06	2.58123074887355E-06	3.68248140590381E-06	2.3656741940082E-06	2.37019794359124E-06	1.97677536549161E-06	1.4838120275705E-06	2.07889118736974E-06	1.94643675849677E-06	1.9120609029202E-06	4.67909676330125E-06	7.10262815886711E-06	7.51469340808931E-06	6.77117452635684E-06	6.30914215141994E-06	2.33697627515035E-06	2.49535325856384E-06	2.32577636599936E-06	2.66400113876448E-06	2.63470700270357E-06	2.66674753136612E-06	2.4926510032563E-06	2.52451748401424E-06
P62623		2.60216731577824E-07	3.22485906347058E-07	3.09681990140482E-07	2.09906873892716E-07	2.58357270017638E-07	3.97611544247582E-07	3.94358933381038E-07	2.73992734043133E-07	3.61957229296023E-07	2.62440823601235E-07	2.76738451225349E-07	1.6314066592597E-07	2.04857861062071E-07	2.58327020783303E-07	2.68263925498734E-07	8.69971436537137E-07	9.68798662019174E-07	9.70157284772746E-07	9.50029540275386E-07	9.34229260844958E-07	7.74951047969527E-07	NaN	NaN	NaN	NaN	7.28943748746744E-07	6.61425530682263E-07	7.26898813477347E-07
P22564		4.62588075708888E-07	1.46028146311082E-07	7.25292178929963E-07	3.12640339019512E-07	2.95059674344408E-07	7.50183716565332E-08	4.04594348906684E-07	5.99619994453072E-07	5.12291352946804E-07	5.03700706772109E-07	1.11874909603157E-07	7.49255288914222E-07	7.93013779595501E-07	7.99868179764874E-07	5.4580606779179E-07	1.25813498916872E-06	1.3120270250604E-06	9.43437703952501E-07	5.02640099460319E-07	1.69576247390257E-07	NaN	NaN	3.63101446124263E-07	NaN	NaN	NaN	NaN	NaN
P04036		3.54296434716462E-06	3.87948675359248E-06	2.42372910707185E-06	2.43274758011359E-06	3.17396093094818E-06	5.46032398213677E-06	3.34128182801817E-06	2.95313657333613E-06	3.32959187798676E-06	2.17523967421565E-06	3.66948982073821E-06	2.25589641616462E-06	2.36259077838001E-06	2.28147983877574E-06	2.74324696146638E-06	2.98424003790106E-06	3.38246746278133E-06	3.31745484805485E-06	3.23533365050563E-06	5.51329113399433E-06	2.88614048738488E-06	2.45603397529396E-06	2.48145217159178E-06	2.58059748931928E-06	2.80114472767593E-06	3.07963099076583E-06	3.68365280187673E-06	4.51574246833902E-06
P0A6F1		6.47868339403716E-06	1.27906376349777E-05	9.81413765504438E-06	7.85214278602774E-06	9.00858689643572E-06	1.64001606324056E-05	1.10959909650928E-05	8.00123588643913E-06	8.03984638976993E-06	1.07996466296517E-05	1.07849360703685E-05	3.97093915058572E-06	4.49441406305771E-06	5.62234996292919E-06	9.0817842246503E-06	4.89053871924602E-06	5.60240672275639E-06	7.49823897696272E-06	1.30725674961453E-05	1.13687036050825E-05	5.32629479407819E-06	5.50085721418676E-06	6.55556908457601E-06	7.81299799598057E-06	8.68299976799297E-06	1.03600625161439E-05	1.18905422587184E-05	1.35260815729524E-05
P00968		3.31317989014748E-06	6.28186225771234E-06	4.95493165301985E-06	3.81270483209492E-06	4.27914311544825E-06	7.87526352395117E-06	5.43693074089291E-06	4.85454131559288E-06	3.71850015716475E-06	5.08426435930743E-06	4.84631359175321E-06	2.95832821524815E-06	3.40906414823854E-06	3.92608429541419E-06	5.61195561656082E-06	4.41220287126626E-06	6.01205664263891E-06	7.35024973554588E-06	9.55569701948284E-06	1.04284863402496E-05	6.29945519875192E-06	6.41542436721218E-06	7.77263366609577E-06	8.59373237332734E-06	9.23097587747805E-06	1.03420679903895E-05	1.17952417512885E-05	1.33808511145422E-05
P31551		NaN	NaN	NaN	NaN	NaN	1.05209988402573E-07	NaN	NaN	NaN	NaN	NaN	NaN	8.57848341197574E-08	7.4850049849557E-08	5.26202093597336E-08	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P0A754		NaN	NaN	NaN	NaN	NaN	8.04401056496601E-08	6.31851070158598E-08	NaN	NaN	6.18655092496371E-08	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P03819		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P0ABQ4		3.87152789810087E-07	4.48964300823711E-07	6.25247779607456E-07	3.96612196153294E-07	4.69064793758607E-07	5.22329144174445E-07	5.66721806003789E-07	4.41552394910832E-07	5.71104622368089E-07	4.4940260533737E-07	3.944027927135E-07	4.51099831609909E-07	3.74516361254361E-07	3.73747055635351E-07	3.63571414545248E-07	1.99294862140609E-06	2.13686199456221E-06	1.58682105681061E-06	1.36113872163396E-06	1.21244500915972E-06	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.48401238186442E-07
P05637		1.10440058937688E-07	5.26483316793273E-08	8.95446900866798E-08	8.1831576610307E-08	7.89168913546295E-08	1.01294291629759E-07	7.78615873785181E-08	7.67370258961845E-08	9.13598322735165E-08	7.7877988156936E-08	7.55511843184951E-08	1.08266078296325E-07	1.00880642492777E-07	8.29850132505733E-08	7.03909874940197E-08	4.78285528618514E-07	4.59466087513483E-07	4.06982993736617E-07	3.55808203352079E-07	3.52587764232502E-07	NaN	4.54806178758467E-07	3.13203630719923E-07	3.77003617798586E-07	NaN	2.98878526864864E-07	NaN	2.93755392983391E-07
P62672		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P06992		2.42539321193187E-07	3.03174151491483E-07	2.61819164642823E-07	1.68194172626694E-07	2.27186154255029E-07	4.47629698046919E-07	3.26980546261561E-07	2.25541288482253E-07	2.80822291227165E-07	2.86040213951822E-07	2.77171305945723E-07	1.76938764456397E-07	1.476679716489E-07	1.63265360834314E-07	1.93682775581472E-07	1.20615508900429E-06	1.17083089741142E-06	1.18391393133471E-06	1.0985722946659E-06	1.62898868153258E-06	7.11683469145493E-07	7.47199384172012E-07	NaN	8.01567990117228E-07	8.41697887720679E-07	1.10441061851284E-06	9.42835914757248E-07	1.07434314145104E-06
P19624		3.10623604753821E-07	2.70194570136012E-07	3.02985949156124E-07	2.94106420443889E-07	3.39098718363918E-07	3.26012762985406E-07	3.16440164910198E-07	2.54189015735598E-07	3.51269396967925E-07	2.77029537636143E-07	3.43578434296331E-07	2.13433543295031E-07	2.3473498180034E-07	2.23124434313441E-07	2.14390408628477E-07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P0ABZ6		1.96805585217881E-06	2.39458960295449E-06	2.22940524312047E-06	2.69595654661753E-06	2.17381561157794E-06	2.75337268234615E-06	2.47655122919599E-06	2.26193152934725E-06	2.4289558227079E-06	2.31831829207672E-06	2.23407142552685E-06	2.14710066038153E-06	2.12785579657967E-06	2.06036817891204E-06	1.92564151863125E-06	1.01345709512269E-05	9.01531739908997E-06	7.67088470538882E-06	6.84026300934402E-06	7.23149604301146E-06	6.73431136628902E-06	6.66934570772613E-06	6.12446574790686E-06	5.91891509046711E-06	5.77613928176066E-06	5.29818398418023E-06	5.70282387540676E-06	5.47118766316605E-06
P31554		6.45663038702266E-07	6.05056319383474E-07	6.98785365802534E-07	8.47778776713459E-07	9.98877732407624E-07	9.27453156438647E-07	6.92615510932825E-07	6.58230614083168E-07	7.16205532449556E-07	6.58910581491091E-07	7.78164573551155E-07	8.15226619891753E-07	8.2003624426323E-07	7.57243487511611E-07	6.99326884789776E-07	3.95107624483174E-07	3.32158103567681E-07	3.12432913960269E-07	2.729322153842E-07	1.60669720450175E-07	1.49456384703986E-06	1.44019501396764E-06	1.41834220151466E-06	1.40020626241653E-06	1.34781190949612E-06	1.28157721497451E-06	1.27216920946635E-06	1.28057499005097E-06
P31680		NaN	7.79270107904541E-08	5.11117921291225E-08	6.791975320772E-08	NaN	NaN	7.19338141411327E-08	NaN	NaN	5.51757647122394E-08	5.60546862883463E-08	1.12715369185215E-07	1.0216281852446E-07	9.74937624090869E-08	1.3546944763E-07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P0AA37		1.37021808464092E-07	NaN	1.95195537925676E-07	1.51481769390198E-07	1.45292354124549E-07	2.0933917362351E-07	2.11722524504426E-07	NaN	1.13701628665586E-07	1.59851738275544E-07	NaN	1.67934247181262E-07	2.94465031276279E-07	2.666716481895E-07	1.36704049058277E-07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P60240		1.4275384004921E-07	1.6292593180971E-07	1.219353025406E-07	1.0614880638766E-07	1.92365924509119E-07	1.48778759281981E-07	1.4081797002509E-07	1.44134473379768E-07	1.08247009906801E-07	1.18074966266489E-07	1.55827699334399E-07	2.33508320043713E-07	1.82697988514497E-07	1.78738564416659E-07	1.97667171100002E-07	4.71391776128168E-07	4.12417484750904E-07	4.93280698269047E-07	4.92274311044179E-07	5.5638117726827E-07	2.67258313547321E-07	3.05685304780796E-07	3.20013079951359E-07	3.31952768510311E-07	3.16710741784652E-07	3.85980106419569E-07	4.1160919841943E-07	4.28402933406976E-07
P08202		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.43665808083055E-07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P31550		NaN	NaN	NaN	NaN	NaN	NaN	5.16345263668067E-08	NaN	6.59586187178483E-08	5.28743365623475E-08	NaN	NaN	NaN	NaN	NaN	3.19910371041038E-06	3.52914840080584E-06	4.1088274423298E-06	4.43409179340714E-06	5.11903893865229E-06	1.93167754230066E-06	1.74180429616025E-06	2.13332860371694E-06	2.2204592309869E-06	2.0926425308516E-06	2.03500287030468E-06	2.10285781163941E-06	2.48653945181681E-06
P30126		1.45519654678945E-05	9.35045930478111E-06	9.67942440447151E-06	1.18957702252406E-05	1.18409523468209E-05	9.06932070455511E-06	9.89604574271473E-06	1.041650804503E-05	7.34942449802149E-06	1.22781581869302E-05	1.01848371074109E-05	1.78404117223553E-05	1.31576178611269E-05	1.17287302482189E-05	7.54822218990815E-06	3.77030897150095E-05	5.16892052145288E-05	4.08436216889326E-05	3.50512593774824E-05	3.36672253464827E-05	3.42766616330504E-05	3.68001003344393E-05	3.58948605313207E-05	3.53140136822928E-05	3.45429917060096E-05	3.25087815747733E-05	2.98059838088663E-05	2.89523629238187E-05
P0A6A6		7.76994383749224E-06	4.37933140853832E-06	5.82504057631566E-06	5.18819937149538E-06	6.91754855468949E-06	4.89635733834191E-06	5.56509262915072E-06	3.95119441908921E-06	4.24822213684627E-06	5.46651597210177E-06	4.11441036644195E-06	9.56658454022346E-06	7.47443308069447E-06	6.49476188848663E-06	4.08972946766012E-06	2.26780303638979E-05	2.76188884443873E-05	2.42459313408809E-05	1.91787213443094E-05	1.71735451181211E-05	2.47712319144119E-05	2.51892572825572E-05	2.51236253947125E-05	2.56567636192247E-05	2.46069560577669E-05	2.36556620498546E-05	2.14151171414408E-05	2.04312612633434E-05
P30125		1.58511894972159E-05	8.54159257257767E-06	8.83100827667236E-06	1.7488277695197E-05	8.20797128849971E-06	8.12911052695616E-06	9.59045092498162E-06	8.16071395292531E-06	6.00849403186288E-06	8.58723303972682E-06	1.24723480552905E-05	1.82900549408766E-05	1.52268564402581E-05	1.29673622916257E-05	1.02043175141875E-05	2.00057200463446E-05	2.8036841058875E-05	2.42479944346919E-05	1.76033731018622E-05	1.63359793502247E-05	2.34786064101074E-05	2.460640608243E-05	2.42576212184507E-05	2.30039851019081E-05	2.19999778475473E-05	1.93337163333602E-05	1.89606175905057E-05	1.71774478324349E-05
P09151		9.28311266403072E-06	6.47611879180974E-06	5.77858431564016E-06	9.7276888239022E-06	6.08912285702811E-06	4.80383349875985E-06	6.44430910469448E-06	6.3538295562769E-06	4.21231424066298E-06	6.76424839784336E-06	9.48000533773636E-06	1.3326579631702E-05	9.17007459459405E-06	8.02436563828339E-06	6.92130654949503E-06	2.53433462902382E-05	3.04145315163481E-05	2.26303779288004E-05	1.65894379728077E-05	1.29471213285655E-05	2.7887097745711E-05	2.88882507397902E-05	2.79122719692475E-05	2.73704532000781E-05	2.37498763304732E-05	2.19054910924006E-05	1.96374214340627E-05	1.7820863737391E-05
P00893		6.72529202009611E-07	7.53804431167172E-07	6.79945321494474E-07	6.33636879657271E-07	7.80641510343215E-07	7.80818285434993E-07	8.99039254215408E-07	6.91757794547994E-07	9.30002434500513E-07	5.94899673118673E-07	8.0859065327073E-07	7.51241579489619E-07	8.68807317468372E-07	8.66688098216005E-07	8.45683272287307E-07	3.98936927873797E-06	4.73877552573592E-06	3.93411862009272E-06	3.56698856046087E-06	3.7295704166383E-06	2.61997640168991E-06	2.57137183914286E-06	2.56339913914674E-06	2.49110910446556E-06	2.44154409017527E-06	2.45868843533389E-06	2.50265877575592E-06	2.50096168381229E-06
P00894		1.9729783983874E-06	3.28306632458457E-06	1.89856534833118E-06	2.92958865780238E-06	2.78675152559391E-06	2.71588121460283E-06	2.37581720488865E-06	3.03334258549985E-06	2.68747657303199E-06	2.73288741711149E-06	3.28735124510196E-06	1.89380888620686E-06	1.99825924937731E-06	1.79304657230648E-06	2.0157487168132E-06	5.19205233181647E-06	4.7858241284985E-06	4.77067800076424E-06	4.28036614480855E-06	5.01487786087846E-06	6.21524628018503E-06	5.53451555117814E-06	5.94332371412925E-06	6.29633721673099E-06	5.42013381208544E-06	5.35899102492938E-06	5.59985259215553E-06	5.83970768124884E-06
P0ACP1		5.65261450628573E-07	4.71489014893814E-07	6.01989933111491E-07	5.45657688777409E-07	4.15998994096197E-07	2.6268832739248E-07	4.81560099172157E-07	5.54294448605798E-07	6.45476638285834E-07	6.24681713668546E-07	3.20979810770174E-07	9.34139215672208E-07	7.15526801680785E-07	6.7740343433875E-07	5.40044594459832E-07	2.07959856146722E-06	2.15623494864092E-06	1.65872742402743E-06	1.17113281357888E-06	8.88136725946005E-07	7.77851945157433E-07	9.99258767318062E-07	1.05721849865365E-06	8.47082405561367E-07	7.24971146420608E-07	7.16293341392949E-07	NaN	4.62467881143541E-07
P22186		3.35848919324969E-07	2.00342456842387E-07	2.92723969186013E-07	3.60546192438567E-07	2.39535524209038E-07	2.61713832720513E-07	2.59621219506192E-07	1.8947907959115E-07	3.26995337104109E-07	1.84328791903632E-07	2.77279519625816E-07	2.95983779608545E-07	2.36500997843979E-07	2.20797163855934E-07	2.55076137514869E-07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P60390		6.74235684695257E-07	7.46426524822701E-07	5.95392945987848E-07	6.86984510151971E-07	5.40913927503476E-07	6.6178819077543E-07	6.33375899287186E-07	7.0357522029455E-07	8.66096845721395E-07	6.89706810717187E-07	8.08897258697662E-07	4.38149217058318E-07	3.93458697722429E-07	3.87354249571587E-07	4.34598408835652E-07	1.01901738454009E-06	1.21239468979847E-06	8.13965987473233E-07	7.87648961542935E-07	8.65794929553935E-07	7.90808277475769E-07	7.41472916805664E-07	6.13751822913776E-07	8.12358024519417E-07	6.7508509694544E-07	7.02563884684481E-07	7.22053810732182E-07	6.95723090185438E-07
P0AEN4		5.59857588790695E-08	NaN	6.59302496921394E-08	NaN	5.65804726042196E-08	1.04058312881157E-07	7.3973273100619E-08	5.77719636093729E-08	9.74585388562165E-08	5.84328706531882E-08	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P0AD68		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P22188		1.11387375608053E-06	7.38946619773006E-07	7.83753767524165E-07	6.87052816977188E-07	6.60028690263616E-07	9.07041922582169E-07	7.15888215507897E-07	7.55667195399933E-07	1.01151979971482E-06	6.85045443532237E-07	8.32487840958008E-07	5.36536810226334E-07	5.35973773244E-07	5.81817614376809E-07	6.30881329849404E-07	4.5750363242499E-07	7.5841341266052E-07	5.50846047531496E-07	5.94221336923307E-07	7.22988582345167E-07	4.24197065224931E-07	3.98102487447466E-07	4.56921270556905E-07	3.52037026097356E-07	4.24234661447393E-07	4.31066126689058E-07	4.60467557468477E-07	4.95389270254271E-07
P11880		1.11354558633329E-06	5.28285293918881E-07	9.65022332633262E-07	5.41582048206111E-07	6.45566675371906E-07	9.39926688239828E-07	9.04643001262968E-07	6.41609976581561E-07	9.97973827668097E-07	5.12360317776787E-07	7.68281057435964E-07	5.05365290129765E-07	5.60843149858526E-07	5.69594202874766E-07	7.80249396588641E-07	6.51585408740783E-07	6.14500039504397E-07	6.20739640298579E-07	7.28926266971888E-07	7.79547544382748E-07	1.54627162752381E-07	2.1023075348216E-07	2.0368355586266E-07	2.01516901147018E-07	2.64971968701367E-07	2.45584720952707E-07	NaN	2.3898311421103E-07
P0A6W3		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.67637284977427E-08	NaN	NaN	5.12727807195904E-08	5.34401293205144E-08	5.29820941091963E-08	6.39748012834301E-08	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P14900		1.50367378185168E-07	1.24489419724803E-07	1.3683300319219E-07	1.08311855852874E-07	1.84203432704369E-07	1.4395944017698E-07	1.31459331248382E-07	1.15353323577672E-07	1.65872742402743E-07	1.18250498921989E-07	1.04714771103648E-07	6.7613331186526E-08	6.85601296941321E-08	7.26485777951583E-08	9.74773945871211E-08	4.85229600470103E-07	4.37325568566387E-07	3.69998263222718E-07	4.97457205252249E-07	3.92742614504735E-07	7.83883908747741E-07	7.20963407540759E-07	6.85016311389033E-07	6.30977816075723E-07	5.87370686412239E-07	6.37635900520713E-07	1.02121548419039E-06	9.08172918577312E-07
P17443		1.6194083127115E-07	1.9726549590149E-07	1.20073089959152E-07	1.60771497619749E-07	1.46041382784279E-07	1.63059535747538E-07	1.73392132284548E-07	1.49376073509289E-07	2.19895608633657E-07	1.89867822366084E-07	1.93648380527019E-07	1.38484178916704E-07	1.14839426837701E-07	1.29865884809007E-07	1.65567533964807E-07	NaN	NaN	NaN	NaN	NaN	2.16246749464556E-07	2.29561889752824E-07	2.38702872664608E-07	2.80600532990514E-07	2.3395952651304E-07	2.68601661145259E-07	2.52400240564447E-07	2.92541531102288E-07
P17952		7.03245890351235E-07	6.76557411744872E-07	6.54131885392053E-07	5.5191914775566E-07	6.07135743368836E-07	7.70276024892802E-07	6.52055056112388E-07	6.84572037279524E-07	7.989708178227E-07	7.03807934042373E-07	8.21756651015419E-07	3.80308435502747E-07	4.93008780182328E-07	4.3993798207094E-07	5.28484235631423E-07	5.16427604441011E-07	5.50846047531496E-07	6.14600678226884E-07	6.42578243078214E-07	7.22988582345167E-07	2.28821086981897E-07	2.56341029683611E-07	2.58988419786357E-07	2.27671170071015E-07	NaN	2.6264445508712E-07	2.47122622379933E-07	3.15967322859814E-07
P07862		1.09042055814447E-06	8.9442664610143E-07	9.25163059081404E-07	1.01458404389407E-06	8.78111265423464E-07	9.05713066211305E-07	8.99687306595057E-07	1.0108092293409E-06	1.0391350651652E-06	9.01262667851744E-07	1.12100354770018E-06	7.16547704106012E-07	7.09817489539707E-07	7.06798327865103E-07	7.12552084938134E-07	5.12955568515216E-07	5.37008223189562E-07	5.17987504639556E-07	5.32026606426465E-07	6.23305927721992E-07	3.51927080584583E-07	3.87592863692428E-07	NaN	3.93350530434454E-07	NaN	3.12211083573202E-07	NaN	NaN
